listing_id,date
290701,2012-02-20
290701,2012-02-28
290701,2012-03-13
290701,2012-04-21
290701,2012-05-03
290701,2012-05-13
290701,2012-05-18
290701,2012-06-12
290701,2012-06-25
290701,2012-08-12
290701,2012-08-21
290701,2012-09-08
290701,2012-09-11
290701,2012-09-18
290701,2012-09-23
290701,2012-09-25
290701,2012-10-02
290701,2012-10-09
290701,2012-10-13
290701,2012-10-25
290701,2012-11-07
290701,2012-12-25
290701,2012-12-30
290701,2013-01-13
290701,2013-02-18
290701,2013-03-27
290701,2013-04-03
290701,2013-04-13
290701,2013-05-09
290701,2013-07-03
290701,2013-07-12
290701,2013-07-31
290701,2013-08-09
290701,2013-08-21
290701,2013-08-24
290701,2013-09-19
290701,2013-10-17
290701,2013-11-11
290701,2013-12-09
290701,2013-12-24
290701,2014-01-20
290701,2014-01-30
290701,2014-02-03
290701,2014-02-10
290701,2014-02-21
290701,2014-03-08
290701,2014-03-22
290701,2014-05-16
290701,2014-05-20
290701,2014-06-04
290701,2014-06-12
290701,2014-06-20
290701,2014-06-23
290701,2014-06-29
290701,2014-07-07
290701,2014-07-10
290701,2014-07-27
290701,2014-07-29
290701,2014-08-01
290701,2014-08-08
290701,2014-08-11
290701,2014-08-30
290701,2014-09-03
290701,2014-09-25
290701,2014-09-28
290701,2014-10-02
290701,2014-10-06
290701,2014-10-09
290701,2014-10-19
290701,2014-10-22
290701,2014-10-25
290701,2014-11-06
290701,2014-11-09
290701,2014-11-26
290701,2014-11-30
290701,2014-12-09
290701,2014-12-19
290701,2015-01-03
290701,2015-01-25
290701,2015-02-05
290701,2015-02-09
290701,2015-02-12
290701,2015-02-15
290701,2015-02-19
290701,2015-03-01
290701,2015-03-12
290701,2015-03-16
290701,2015-03-22
290701,2015-04-09
290701,2015-04-18
290701,2015-04-22
290701,2015-05-02
290701,2015-05-06
290701,2015-05-09
290701,2015-05-23
290701,2015-05-30
290701,2015-06-04
290701,2015-06-15
290701,2015-06-23
290701,2015-06-26
290701,2015-06-30
290701,2015-07-15
290701,2015-07-19
290701,2015-07-28
290701,2015-08-09
290701,2015-08-14
290701,2015-08-17
290701,2015-08-20
290701,2015-08-30
290701,2015-09-07
290701,2015-09-17
290701,2015-09-30
290701,2015-10-05
290701,2015-10-11
290701,2015-11-10
290701,2015-11-16
290701,2015-11-27
290701,2015-12-04
290701,2015-12-13
290701,2015-12-21
290701,2015-12-26
290701,2016-01-07
290701,2016-01-12
290701,2016-01-20
290701,2016-01-31
290701,2016-02-03
290701,2016-02-09
290701,2016-02-13
290701,2016-02-17
290701,2016-02-22
290701,2016-02-25
290701,2016-03-01
290701,2016-03-08
290701,2016-03-11
290701,2016-03-18
290701,2016-03-27
290701,2016-05-04
