id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1203421957848995034,Modern studio in Psiri,590161907,Lar,,ΚΕΡΑΜΕΙΚΟΣ,37.9805812,23.7233475,Entire home/apt,53,2,0,,,3,359,0,00002789786
1203423475667100036,cozy apartment close to center,201512943,Anastasios,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9621864,23.7306595,Entire home/apt,35,1,6,2024-09-06,4.29,4,133,6,00002789048
1203473118666886741,"Syntagma square, 45sqm cozy",560466060,George,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97465,23.73352,Entire home/apt,133,1,2,2024-09-17,2,10,245,2,00002478136
1203475238891397317,Gaia Apartment Athens,590561746,Σπηλιος,,ΝΙΡΒΑΝΑ,38.0090678,23.727203,Entire home/apt,50,3,1,2024-08-06,0.61,1,324,1,00002800619
1203509720974951758,Comfy 2 bedroom apartment in Exarchia,507729052,Alex,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.9876396,23.7408827,Entire home/apt,50,2,6,2024-09-06,3.00,7,70,6,00002746542
1203524361829332049,Kolonaki Elegance Residence,20104194,Upstreet,,ΚΟΛΩΝΑΚΙ,37.98027763764604,23.73655283840577,Entire home/apt,102,2,3,2024-09-03,2.20,124,299,3,00002837304
1203555240505280715,Modern studio in Psiri 2,590161907,Lar,,ΚΕΡΑΜΕΙΚΟΣ,37.9805812,23.7233475,Entire home/apt,59,2,2,2024-09-02,2,3,359,2,00002789803
1203580869013567878,Minimal Stoudio,590598785,Ζωη,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98586940262807,23.723023683508988,Entire home/apt,48,3,0,,,1,347,0,00002807138
1203601361997930340,GK Niki Family Apartment,24703234,GK Properties,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97365,23.73433,Entire home/apt,85,1,8,2024-09-19,5.33,29,270,8,00002792872
1203627560019110983,central cozy nest,96343098,Antonis,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98755801867611,23.746952696159447,Entire home/apt,64,2,0,,,5,235,0,00002609997
